,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Region,Subregion,Country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Asia,Southern Asia,Afghanistan,External/NSO,,,,,,,,,,1115,983,1231,1948,,,3367,2318,2424,2735,2950,2570,1613,,,,,,,,,,4.07,3.49,4.21,6.39,,,9.98,6.69,6.80,8.18,8.45,6.59,4.02
Europe,Southern Europe,Albania,MD/CTS/GSH 2023 Revision/SDG/NSO,262,440,432,490,398,482,488,524,472,368,535,597,656,610,712,582,818,646,824,646,424,374,12.41,21.01,20.82,21.27,17.31,21.77,43.95,47.81,44.76,41.28,60.58,64.85,71.68,58.76,58.95,38.46,33.02,169.73,191.36,210.51,46.58,15.42
Africa,Northern Africa,Algeria,CTS,,,,,406,,1133,1225,1218,1122,1037,1013,1800,1592,3559,5915,3986,3830,4156,3803,5353,5675,,,,,1.25,,3.39,3.60,3.52,3.19,2.89,2.77,10.53,8.60,45.63,49.82,14.04,13.22,14.09,12.66,16.96,17.72
Oceania,Polynesia,American Samoa,NSO/SAS/MoJ,,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,0,14,26,0,,,,1.71,12.03,5.18,6.94,10.48,7.04,1.77,5.37,3.61,9.12,9.21,3.72,5.66,5.75,7.79,0.00,42.48,80.69,0.00,,
Europe,Southern Europe,Andorra,Interpol/CTS,,,,,1,,,0,6,7,8,9,2,0,1,0,,3,2,,4,,,,,,1.30,,,0.00,18.66,35.28,34.30,69.34,2.82,0.00,1.40,0.00,,4.06,2.67,,7.62,
Africa,Sub-Saharan Africa,Angola,NSO,,,,,,,,,,,,1055,1217,,,1254,1196,,,,,,,,,,,,,,,,,4.35,4.83,,,4.46,4.10,,,,,
Americas,Latin America and the Caribbean,Anguilla,MD/WHO/NSO/SDG/PAHO,2,0,2,2,1,0,5,4,2,2,0,0,5,2,4,,,,,,,,27.42,0.00,17.30,17.03,8.38,0.00,40.57,31.94,23.84,23.45,0.00,0.00,37.16,22.16,28.33,,,,,,,
Americas,Latin America and the Caribbean,Antigua and Barbuda,MD/PAHO/OAS/CTS,5,14,10,5,4,3,11,17,32,16,6,,10,,,32,55,180,106,29,88,102,6.66,28.48,19.86,6.40,5.07,3.76,13.60,20.73,58.55,18.93,7.00,,11.41,,,232.74,139.81,572.33,449.38,109.39,409.99,154.45
Americas,Latin America and the Caribbean,Argentina,CTS/MoS,,3129,3570,2967,2338,3242,3155,3165,3465,3748,3764,3883,4111,4651,5012,14282,4601,15286,22471,21224,20570,20353,,8.35,9.42,7.75,6.05,8.30,7.99,7.94,8.60,9.21,9.16,9.35,9.80,10.97,11.70,93.25,10.54,47.30,220.52,221.94,236.31,203.93
Asia,Western Asia,Armenia,UNSDC/TransMonEE/CTS/Covid-19/SDG/UNECE/WHO,182,176,138,149,234,240,266,266,386,402,298,284,295,415,506,538,557,492,299,251,104,123,8.77,8.63,6.80,7.53,10.52,10.19,11.86,11.95,41.77,44.69,34.11,31.84,33.22,36.89,38.95,43.34,48.11,48.33,31.69,11.90,5.74,6.87
Americas,Latin America and the Caribbean,Aruba,MD,,8,10,8,4,12,10,6,10,8,8,4,8,12,4,,,,,,,,,13.25,16.64,13.15,6.62,19.47,16.00,9.60,15.61,12.30,12.34,6.11,11.96,17.90,6.00,,,,,,,
Oceania,Australia and New Zealand,Australia,MD/Eurostat/GSH 2019 Revision/CTS/SDG,724,694,732,604.000000000001,628,1259,1347,1237,1194,1193,876,927,877,1420,1594,1582,1530,1416,1461,1519,1503,837,5.72,5.42,5.65,4.61,4.48,15.96,16.45,15.24,14.57,14.44,12.19,13.21,12.19,39.73,41.68,41.59,40.07,33.73,35.13,43.79,39.69,4.22
Europe,Western Europe,Austria,UNSDC/Eurostat/CTS/GSH 2023 Revision/MD,164,140,130,137,144,319,339,266,249,277,503,612,553,561,384,452,612,785,987,860,698,549,3.05,2.60,2.41,2.31,2.48,5.28,6.98,4.24,4.07,4.46,18.76,25.04,24.79,29.31,16.06,21.70,28.57,31.70,43.38,40.01,31.23,17.52
Asia,Western Asia,Azerbaijan,UNSDC/CTS/NSO,226,218,212,,311,326,269,484,469,294,919,683,1456,1483,892,422,2863,2843,2982,2394,2763,1596,2.76,2.63,2.53,,3.63,3.77,3.07,5.45,5.21,3.22,12.63,9.58,52.70,54.52,30.55,6.44,66.68,62.80,62.19,56.71,66.77,21.81
Americas,Latin America and the Caribbean,Bahamas,UNSDC/OAS/CTS/GSH 2023 Revision/NP/MD,74,43,52,50,44,52,61,78,73,87,94,127,110,119,122,146,111,122,91,95,73,119,22.77,13.05,15.57,14.77,12.82,14.95,17.30,21.81,20.12,23.64,25.18,33.60,28.79,30.86,31.35,37.18,28.03,30.57,22.64,23.48,17.96,29.17
Asia,Western Asia,Bahrain,UNSDC/CTS/NP/SDG/MoI,,9,8,,,,,4,6,13,2,12,9,11,9,3,4,6,5,4,0,1,,1.23,1.07,,,,,0.38,0.54,1.10,0.16,0.99,0.73,0.87,0.69,0.22,0.28,0.41,0.34,0.27,0.00,0.07
Asia,Southern Asia,Bangladesh,NP,3343,3678,3503,3471,3902,3592,4166,3863,4099,4219,3988,3966,4114,4393,4514,4035,3591,3549,3830,,,,2.59,2.79,2.61,2.54,2.81,2.55,2.92,2.68,2.82,2.88,2.69,2.64,2.70,2.85,2.89,2.56,2.25,2.19,2.34,,,
Americas,Latin America and the Caribbean,Barbados,MD/UNSDC/OAS/CTS,40,50,50,66,44,58,70,116,102,82,145,112,96,122,125,162,238,296,339,554,531,314,23.01,28.80,28.50,37.41,25.26,32.67,39.93,100.69,96.44,62.21,130.53,112.32,96.38,100.47,94.04,137.11,232.17,524.04,505.36,758.72,771.83,651.25
Europe,Eastern Europe,Belarus,UNSDC/NSO/CTS,1013,969,989,921,859,922,975,2408,2095,1862,1609,1955,2031,2143,2798,1562,1835,1499,1364,1044,,,9.88,9.50,9.76,9.15,8.59,9.28,9.87,89.29,76.97,66.57,58.78,61.23,89.06,97.36,117.67,24.54,26.54,21.48,19.71,16.43,,
Europe,Western Europe,Belgium,WHO Adjusted/UNSDC/Eurostat/MoI/CTS,424,564,638,230,268,221,221,211,332,334,526.000000000001,619,635,611,567.000000000001,744,394,515,393,291,166,250,6.22,8.24,9.27,4.44,5.13,4.22,4.20,3.98,19.64,21.74,22.88,26.86,21.58,25.10,21.72,28.40,22.11,22.10,19.78,12.68,14.10,3.25
Americas,Latin America and the Caribbean,Belize,Computed/CTS/Mol/OAS,41,64,87,67,158,81,92,97,103,194,258,248,290,198,647,1160,1562,1355,1391,1100,1185,1173,17.05,25.80,33.99,25.38,86.85,28.89,31.86,32.64,33.70,92.57,120.08,112.75,128.84,85.97,451.26,1174.22,1433.59,1006.21,987.69,385.45,982.48,1036.34
Americas,Northern America,Bermuda,UNSDC/NP/CTS/External/GSH 2023 Revision,0,3,1,4,2,5,6,3,5,16,40,38,30,43,30,30,47,40,9,4,10,11,0.00,4.86,1.61,6.40,4.70,11.29,9.51,4.75,7.90,35.09,144.96,106.12,101.72,270.17,170.30,239.65,470.72,88.36,14.16,6.27,15.62,17.14
