country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,33,32.322,65.119,Hydro,,,,,,,GEODB,123.77
AFG,Afghanistan,Kandahar DOG,10,31.67,65.795,Solar,,,,,,,Wiki-Solar,18.43
AFG,Afghanistan,Kandahar JOL,10,31.623,65.792,Solar,,,,,,,Wiki-Solar,18.64
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,66,34.556,69.4787,Hydro,,,,,,,GEODB,225.06
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,100,34.641,69.717,Hydro,,,,,,,GEODB,406.16
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55,34.4847,70.3633,Hydro,,,,,,,GEODB,58.77
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,42,34.5638,69.1134,Gas,,,,,,,GEODB,
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6,35.9416,68.71,Hydro,,,,,,,GEODB,21.99
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,22,34.5865,69.7757,Hydro,,,,,,,GEODB,123.23
ALB,Albania,Bistrica 1,27,39.9116,20.1047,Hydro,,,,1965,,,GEODB,105.17
ALB,Albania,Fierza,500,42.2514,20.0431,Hydro,,,,1978,,,GEODB,1976.01
ALB,Albania,Koman,600,42.1033,19.8224,Hydro,,,,1985,,,GEODB,2072.13
ALB,Albania,Lanabregas,5,41.3428,19.8964,Hydro,,,,1951,,,GEODB,20.37
ALB,Albania,Shkopet,24,41.6796,19.8305,Hydro,,,,1963,,,GEODB,93.52
ALB,Albania,Ulez,25,41.6796,19.8936,Hydro,,,,1958,,,GEODB,97.42
ALB,Albania,Vau i Dijes,250,42.0137,19.6359,Hydro,,,,1971,,,GEODB,895.02
ALB,Albania,Vlora,98,40.4874,19.434,Other,,,,,,,GEODB,
DZA,Algeria,Adrar,20,27.908,-0.317,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ain Azel,20,35.88,5.475,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ain Djasser,520,35.8665,6.0262,Gas,Oil,,,,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,,KTH,
DZA,Algeria,Ain Sekhouna,20,34.532,0.804,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ain el Ibel I,20,34.346,3.164,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ain el Ibel II,53,34.342,3.169,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ain el Melh,20,34.861,4.204,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Algerie Sud-Ouest,43.5,27.908,-0.317,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Annaba,71,36.8924,7.7634,Gas,,,,2010,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),,GEODB,
DZA,Algeria,Aoulef,5,26.9989,1.3351,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Arbaa,560,36.5988,3.1375,Gas,Oil,,,2010,Sonelgaz,,GEODB,
DZA,Algeria,Bir Rebaa,10,31.285,8.565,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Boufarik 1,100,36.5914,2.9223,Gas,,,,1980,,,GEODB,
DZA,Algeria,Boufarik 2,450,36.596,2.878,Gas,,,,2016,,,KTH,
DZA,Algeria,Boutelilis,450,35.5658,-0.9386,Gas,,,,2016,,,GEODB,
DZA,Algeria,Chelghoum El Aïd,15,36.225,6.11,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,El Kheneg,60,33.727,2.811,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,F'Krina,292,35.7666,7.3619,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,,GEODB,
DZA,Algeria,HPC Ouargla,30,32.602,5.834,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Hadjret Ennous,1200,36.5767,2.0797,Gas,Oil,,,2009,Sharikat Kahraba Hadjret En-Nouss,,GEODB,
DZA,Algeria,Hamma 2,418,36.7489,3.0823,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,,GEODB,
DZA,Algeria,Hassi Messaoud Mobile,72,31.6703,6.0531,Gas,,,,2013,Sonelgaz Production de l'Electricite,,KTH,
DZA,Algeria,Hassi Messoud,600,31.6703,6.0531,Gas,,,,2015,Sonelgaz Production de l'Electricite,,KTH,
DZA,Algeria,Hassi Messoud Nord 2,200,31.7877,6.0517,Gas,,,,1988,Sonelgaz Production de l'Electricite,,GEODB,
DZA,Algeria,Hassi Messoud Ouest,492,31.8065,5.9924,Gas,,,,,Sonelgaz Production de l'Electricite,,KTH,
DZA,Algeria,Hassi R'mel ISCC,20,33.123,3.356,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Hauts Plateaux Centre,106.6,34.342,3.169,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Hauts Plateaux Est,73.8,35.68,5.9861,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ighil Emda,24,36.4739,5.2719,Hydro,,,,1952,SAFEAGE,,GEODB,30.81
DZA,Algeria,In Salah,5,27.183,2.504,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Jijel,588,36.8139,5.876,Gas,Oil,,,,,,GEODB,
DZA,Algeria,Kahrama IPP,345,35.8064,-0.2476,Gas,,,,,,,GEODB,
DZA,Algeria,Koudiet Eddraouch,1200,36.885,8.0778,Gas,,,,2013,Shariket Karhaba Koudiet Eddraouch SpA (SKD),,GEODB,
DZA,Algeria,Labiodh Sidi Cheikh,20,32.945,0.555,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Labreg,396,34.5056,6.9848,Gas,,,,2015,,,KTH,
DZA,Algeria,Marsat,840,35.8,-0.1924,Gas,Oil,,,,,,GEODB,
DZA,Algeria,Marsat TG,184,35.8,-0.1924,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,,GEODB,
DZA,Algeria,Msila 1,980,35.7071,4.4804,Gas,,,,,Sonelgaz Production de lâ€™Electricite,,KTH,
DZA,Algeria,Naâma,19.9,33.274,-0.372,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Oued El Kebrit,15,35.919,7.87,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Oued el Ma,20,35.68,5.9861,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ras Djinet,672,36.8509,3.6983,Gas,Oil,,,,,,GEODB,
DZA,Algeria,Ras el Oued,20,36.01,5.035,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Ravin Blanc,73,35.7095,-0.6319,Gas,Oil,,,1974,,,GEODB,
DZA,Algeria,Reggane,5,26.768,0.137,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Relizane,465,35.7835,0.5407,Gas,Oil,,,2010,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),,GEODB,
DZA,Algeria,SKB IPP,484,36.1399,2.9296,Gas,,,,2007,Sonelgaz Production de l'Electricite,,GEODB,
DZA,Algeria,SKS IPP SNC Lavalin,815,36.8789,6.9366,Gas,,,,2006,Sharikat Kahraba Skikda (SKS - Skikda Power Co.)  SNC-Lavalin,,GEODB,
DZA,Algeria,SPP1 Thermal,150,32.9475,3.238,Gas,Solar,,,2011,Developed by SPP1  an Abener and New Energy Algeria (NEAL) a joint venture (between Sonatrach Sonelgaz and SIM),,GEODB,
DZA,Algeria,Skikda,262,36.88,6.935,Gas,Oil,,,1975,,,GEODB,
DZA,Algeria,Tamanrasset,13,22.849,5.45,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Terga,1200,35.4608,-1.2295,Gas,,,,2013,Shariket Kahraba Terga JSC,,GEODB,
DZA,Algeria,Tiaret,300,35.3396,1.3562,Gas,,,,,,,GEODB,
DZA,Algeria,Tilghemt 1,200,33.1319,3.348,Gas,,,,1980,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),,KTH,
DZA,Algeria,Tilghemt 2,600,33.1377,3.3678,Gas,,,,2016,,,KTH,
DZA,Algeria,Timimoun,9,29.22,0.223,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Tindouf,9,27.752,-8.154,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Télagh,12,34.692,-0.601,Solar,,,,,,,Wiki-Solar,
DZA,Algeria,Zaouiet Kounta,6,27.241,-0.174,Solar,,,,,,,Wiki-Solar,
AGO,Angola,Biopio,22.8,-12.4706,13.7319,Oil,,,,,,,Power Africa,
AGO,Angola,Biopio (hydro),14.6,-12.4706,13.7319,Hydro,,,,,,,Power Africa,60.76
AGO,Angola,Cambambe,180,-9.7523,14.4809,Hydro,,,,,,,Power Africa,573.81
AGO,Angola,Capanda,520,-9.7955,15.4672,Hydro,,,,,,,Power Africa,1450.81
AGO,Angola,Cazenga,132,-8.8383,13.2344,Gas,,,,,,,Power Africa,
AGO,Angola,Huambo,16.26,-12.76,15.75,Oil,,,,,,,Power Africa,
AGO,Angola,Lobito,20,-12.37,13.57,Gas,,,,,,,Power Africa,
AGO,Angola,Luanda Diesel,58,-8.8383,13.2344,Oil,,,,,,,Power Africa,
AGO,Angola,Luanda Refinery,18.5,-8.8383,13.2344,Oil,,,,,,,Power Africa,
AGO,Angola,Malongo,10,-5.55,12.2,Oil,,,,,,,Power Africa,
AGO,Angola,Matala,40,-14.7333,15.0333,Hydro,,,,,,,Power Africa,165.92
AGO,Angola,Namibe,11.68,-15.1961,12.1522,Gas,,,,,,,Power Africa,
AGO,Angola,Rio Luachimo,16,-7.3,20.85,Hydro,,,,,,,Power Africa,79.25
AGO,Angola,Xitoto,11.34,-15.3333,15,Oil,,,,,,,Power Africa,
ATA,Antarctica,McMurdo Station Generator,6.6,-77.847,166.6605,Oil,,,,1981,,,WRI,
ATA,Antarctica,Ross Island,1,-77.8428,166.7271,Wind,,,,,Meridian Energy,,WRI,
