Character Name,Gender,Dialogue_length
Aberforth Dumbledore,Male,261
Albus Potter,Male,23
Alecto Carrow,Female,20
All,,13
Amos Diggory,Male,53
Angelina Johnson,Female,83
Arabella Figg,Female,56
Aragog,Male,131
Argus Filch,Male,344
Bane,Male,66
Barty Crouch Jr.,Male,47
Barty Crouch Sr.,Male,354
Bathilda Bagshot,Female,8
Bill Weasley,Male,106
Blaise Zabini,Male,8
Bloody Baron,Male,1
Bogrod,Male,145
Boy,,36
Boy 2,,5
Cedric Diggory,Male,150
Centaur,,2
Charity Burbage,Female,5
Cho Chang,Female,98
Class,,5
Colin Creevey,Male,17
Corban Yaxley,Male,103
Cormac McLaggen,Male,113
Crowd,,12
Dean Thomas,Male,39
Death Eater,,3
Diary,,23
Dilys Derwent,Female,17
Dudley Dursley,Male,189
Eldred Worple,Male,25
Elphias Doge,Male,224
Ernest Macmillan,Male,13
Everard,Male,19
Fenrir Greyback,Male,29
Filius Flitwick,Male,116
Firenze,Male,112
Fleur Delacour,Female,51
Gang thug,,42
Garrick Ollivander,Male,343
Gellert Grindelwald,Male,70
George Weasley,Male,486
Ghost,,22
Ghosts,,44
Girl,,26
Goblin,,47
Grawp,Male,8
Gregory Goyle,Male,9
Griphook,Male,283
Griselda Marchbanks,Female,27
Gryffindors,,1
Guard,,50
Helena Ravenclaw,Female,143
Howler,,9
Igor Karkaroff,Male,131
James Potter,Male,109
Justin Finch-Fletchley,Male,10
Katie Bell,Female,48
Kingsley Shacklebolt,Male,74
Kreacher,Male,145
Lavender Brown,Female,88
Leanne,Female,48
Lee Jordan,Male,135
Lily Potter,Female,196
Magorian,Male,12
Maid,,23
Man,,36
Man in a painting,,12
Marcus Belby,Male,33
Marcus Flint,Male,21
Marge Dursley,Female,248
Mary Cattermole,Female,46
Merpeople,,42
Michael Corner,Male,16
Moaning Myrtle,Female,322
Mr. Granger,Male,17
Mrs. Cole,Male,82
Mrs. Granger,Female,45
Mundungus Fletcher,Male,140
Muriel,Female,196
Mykew Gregorovitch,Male,26
Narcissa Malfoy,Female,78
Nearly Headless Nick,Male,107
Nigel Wolpert,Male,25
Nymphadora Tonks,Female,96
Old man,,12
Oliver Wood,Male,278
Olympe Maxime,Female,69
Other,,119
Padma Patil,Female,19
Pansy Parkinson,Female,48
Parvati Patil,Female,18
Percy Weasley,Male,245
Perkins,Male,12
Peter Pettigrew,Male,198
Petunia Dursley,Female,404
Phineas,Male,7
Photographer,,54
Pius Thicknesse,Male,71
Pixie,,5
Pomona Sprout,Female,171
Poppy Pomfrey,Female,80
Professors,,6
Quirinus Quirrell,Male,250
Rita Skeeter,Female,259
Rolanda Hooch,Female,221
Rosmerta,Female,82
Rufus Scrimgeour,Male,356
Scabior,Male,127
Seamus Finnigan,Male,277
Serpent of Slitherin,Female,41
Shrunken head,,7
Skinny kid,,27
Snake,,25
Snatcher,,8
Sorting Hat,,129
Stanley Shunpike,Male,172
Station guard,,133
Student,,1
Students,,61
Susan Bones,Female,64
Sybill Trelawney,Female,439
The Fat Lady,,50
Tom,Male,23
Trolley witch,,40
Viktor Krum,Male,16
Vincent Crabbe,Male,23
Waiter,,8
Waitress,,18
Walburga Black,Female,25
Whomping Willow,,1
Witch,,12
Wizard,,38
Woman,,56
Xenophilius Lovegood,Male,341
Zacharias Smith,Male,17
