Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat ropczycko-sędziszowski,2011.0,130.0,96.0,11.0
powiat ropczycko-sędziszowski,2012.0,111.0,76.0,6.0
powiat ropczycko-sędziszowski,2013.0,92.0,66.0,4.0
powiat ropczycko-sędziszowski,2014.0,89.0,56.0,4.0
powiat ropczycko-sędziszowski,2015.0,66.0,49.0,2.0
powiat ropczycko-sędziszowski,2016.0,70.0,60.0,5.0
powiat ropczycko-sędziszowski,2017.0,82.0,64.0,3.0
powiat ropczycko-sędziszowski,2018.0,64.0,47.0,1.0
powiat ropczycko-sędziszowski,2019.0,59.0,40.0,4.0
powiat ropczycko-sędziszowski,2020.0,19.0,20.0,6.0
powiat ropczycko-sędziszowski,2021.0,24.0,23.0,2.0
powiat ropczycko-sędziszowski,2022.0,24.0,23.0,4.0
powiat łosicki,2011.0,33.0,28.0,10.0
powiat łosicki,2012.0,28.0,27.0,6.0
powiat łosicki,2013.0,29.0,31.0,7.0
powiat łosicki,2014.0,29.0,27.0,7.0
powiat łosicki,2015.0,28.0,20.0,3.0
powiat łosicki,2016.0,26.0,22.0,3.0
powiat łosicki,2017.0,29.0,30.0,6.0
powiat łosicki,2018.0,36.0,36.0,10.0
powiat łosicki,2019.0,24.0,23.0,4.0
powiat łosicki,2020.0,34.0,31.0,4.0
powiat łosicki,2021.0,39.0,32.0,6.0
powiat łosicki,2022.0,18.0,13.0,5.0
powiat piaseczyński,2011.0,156.0,126.0,27.0
powiat piaseczyński,2012.0,133.0,111.0,15.0
powiat piaseczyński,2013.0,141.0,114.0,14.0
powiat piaseczyński,2014.0,144.0,129.0,17.0
powiat piaseczyński,2015.0,88.0,89.0,12.0
powiat piaseczyński,2016.0,97.0,87.0,10.0
powiat piaseczyński,2017.0,87.0,86.0,15.0
powiat piaseczyński,2018.0,85.0,84.0,22.0
powiat piaseczyński,2019.0,76.0,82.0,16.0
powiat piaseczyński,2020.0,86.0,84.0,11.0
powiat piaseczyński,2021.0,116.0,97.0,13.0
powiat piaseczyński,2022.0,103.0,88.0,11.0
powiat radomski,2011.0,263.0,230.0,25.0
powiat radomski,2012.0,172.0,152.0,27.0
powiat radomski,2013.0,232.0,181.0,21.0
powiat radomski,2014.0,216.0,176.0,23.0
powiat radomski,2015.0,217.0,183.0,16.0
powiat radomski,2016.0,256.0,205.0,30.0
powiat radomski,2017.0,270.0,217.0,28.0
powiat radomski,2018.0,280.0,210.0,23.0
powiat radomski,2019.0,319.0,227.0,24.0
powiat radomski,2020.0,196.0,162.0,23.0
powiat radomski,2021.0,232.0,186.0,22.0
powiat radomski,2022.0,214.0,173.0,15.0
powiat sierpecki,2011.0,113.0,87.0,12.0
powiat sierpecki,2012.0,129.0,109.0,17.0
powiat sierpecki,2013.0,124.0,101.0,18.0
powiat sierpecki,2014.0,104.0,89.0,8.0
powiat sierpecki,2015.0,80.0,59.0,3.0
powiat sierpecki,2016.0,99.0,84.0,11.0
powiat sierpecki,2017.0,99.0,78.0,7.0
powiat sierpecki,2018.0,77.0,71.0,9.0
powiat sierpecki,2019.0,77.0,63.0,3.0
powiat sierpecki,2020.0,86.0,71.0,10.0
powiat sierpecki,2021.0,57.0,49.0,9.0
powiat sierpecki,2022.0,61.0,54.0,3.0
powiat szydłowiecki,2011.0,37.0,36.0,13.0
powiat szydłowiecki,2012.0,36.0,29.0,6.0
powiat szydłowiecki,2013.0,22.0,22.0,3.0
powiat szydłowiecki,2014.0,26.0,25.0,5.0
powiat szydłowiecki,2015.0,30.0,33.0,6.0
powiat szydłowiecki,2016.0,31.0,34.0,11.0
powiat szydłowiecki,2017.0,40.0,38.0,4.0
powiat szydłowiecki,2018.0,20.0,19.0,2.0
powiat szydłowiecki,2019.0,23.0,23.0,2.0
powiat szydłowiecki,2020.0,28.0,21.0,6.0
powiat szydłowiecki,2021.0,21.0,15.0,3.0
powiat szydłowiecki,2022.0,24.0,19.0,3.0
powiat węgrowski,2011.0,98.0,82.0,21.0
powiat węgrowski,2012.0,64.0,58.0,9.0
powiat węgrowski,2013.0,59.0,55.0,16.0
powiat węgrowski,2014.0,64.0,58.0,9.0
powiat węgrowski,2015.0,69.0,62.0,15.0
powiat węgrowski,2016.0,46.0,47.0,14.0
powiat węgrowski,2017.0,41.0,41.0,5.0
