Country,Rok,Deaths
EU-27,1991,171.7294558853518
Belgium,1991,187.5442764200371
Bulgaria,1991,129.0491935757597
Czech Republic,1991,129.16552761303757
Denmark,1991,117.75063640721434
Germany,1991,141.68705675069424
Estonia,1991,312.5500319247532
Ireland,1991,126.38537542278748
Greece,1991,207.2028294959114
Spain,1991,227.32082484867425
France,1991,184.42783415203425
Croatia,1991,271.46997321985396
Italy,1991,142.90467704679668
Cyprus,1991,175.42634563077695
Latvia,1991,375.0111449231254
Lithuania,1991,316.85849256395517
Luxembourg,1991,215.92091571279917
Hungary,1991,204.37373284670537
Malta,1991,44.9551852996544
Netherlands,1991,85.34057451328059
Austria,1991,201.14430489274767
Poland,1991,206.9236804916094
Portugal,1991,322.65373216691216
Romania,1991,135.3077182371066
Slovenia,1991,231.00635267469855
Slovakia,1991,115.6154044157176
Finland,1991,126.43848787570936
Sweden,1991,86.72239405026174
Switzerland,1991,126.47099740616808
Norway,1991,75.79078177604787
Iceland,1991,104.733569436417
Liechtenstein,1991,102.70806943065492
EU-27,1992,160.6910648561778
Belgium,1992,166.7332368987937
Bulgaria,1992,152.10480735498757
Czech Republic,1992,152.33868487206072
Denmark,1992,111.77565212472535
Germany,1992,132.43298337939277
Estonia,1992,184.58039794762033
Ireland,1992,116.98405521421894
Greece,1992,209.1151734279927
Spain,1992,200.44342659909395
France,1992,173.38307803921214
Croatia,1992,240.56552909408845
Italy,1992,141.84509842399405
Cyprus,1992,218.8804266178497
Latvia,1992,297.88876276958
Lithuania,1992,225.56194198039609
Luxembourg,1992,177.10472279260782
Hungary,1992,202.5324362781961
Malta,1992,30.594393438337004
Netherlands,1992,82.82025097246044
Austria,1992,179.89718805180067
Poland,1992,181.3140260260022
Portugal,1992,309.6741046319158
Romania,1992,126.34676407810744
Slovenia,1992,246.63416898792943
Slovakia,1992,127.83529526837576
Finland,1992,119.5068126837094
Sweden,1992,87.80536223529546
Switzerland,1992,121.30266848417044
Norway,1992,75.82118425224331
Iceland,1992,80.44220227766351
Liechtenstein,1992,33.75299557835758
EU-27,1993,148.21555256482927
Belgium,1993,164.87360005180608
Bulgaria,1993,154.26719952390806
Czech Republic,1993,147.59294215199228
Denmark,1993,107.90226795511111
Germany,1993,122.8656401921036
Estonia,1993,212.39949897538744
Ireland,1993,120.7497015577272
Greece,1993,207.29249229778836
Spain,1993,162.91029180593685
France,1993,171.9564976730268
Croatia,1993,209.66108496832297
Italy,1993,126.48251338335288
Cyprus,1993,185.7142165040187
Latvia,1993,279.8495557252942
Lithuania,1993,259.34445410293483
Luxembourg,1993,197.59341355288157
Hungary,1993,161.8904325938118
Malta,1993,38.56993693815311
Netherlands,1993,81.04109525038811
Austria,1993,162.765227714643
Poland,1993,165.05237582235958
Portugal,1993,270.7880453444156
Romania,1993,126.991619317052
Slovenia,1993,247.23131021561775
Slovakia,1993,109.89517618511316
Finland,1993,95.74712630035084
Sweden,1993,72.71042967837255
Switzerland,1993,104.20472553296824
Norway,1993,65.16711189796082
Iceland,1993,64.46108635889658
Liechtenstein,1993,66.46947389411413
EU-27,1994,144.23569741404378
Belgium,1994,167.5142869787046
Bulgaria,1994,164.62190080026377
Czech Republic,1994,158.40893561871852
Denmark,1994,105.0678495844047
Germany,1994,120.65687352665128
Estonia,1994,246.45350695215555
Ireland,1994,112.74982878212884
Greece,1994,214.3469562732209
Spain,1994,142.9924294783225
France,1994,156.6750411986393
Croatia,1994,178.75664084255743
Italy,1994,124.746133877002
Cyprus,1994,210.12917414494805
Latvia,1994,304.75767679534533
Lithuania,1994,208.3732828951956
Luxembourg,1994,162.41879060469765
Hungary,1994,150.91772858190475
Malta,1994,16.374160483146895
Netherlands,1994,84.60681914014833
Austria,1994,168.75304114925612
Poland,1994,175.1474176910371
Portugal,1994,250.73594252191313
Romania,1994,129.5087746133632
Slovenia,1994,253.84435972912544
Slovakia,1994,118.61807136010704
Finland,1994,94.52704182348964
Sweden,1994,67.35193352078288
Switzerland,1994,97.08605985734498
Norway,1994,65.25830181295863
Iceland,1994,45.10922070062138
Liechtenstein,1994,98.45749917952084
EU-27,1995,142.29446545365172
Belgium,1995,143.03236914315022
Bulgaria,1995,150.36758569733027
Czech Republic,1995,153.67998234035065
Denmark,1995,111.58578742178928
Germany,1995,115.94508186508912
Estonia,1995,229.26989278870224
Ireland,1995,121.46929481376144
Greece,1995,227.65296400950103
Spain,1995,146.12473343483356
France,1995,153.9672674108591
Croatia,1995,177.86730432095268
Italy,1995,123.49165802415634
Cyprus,1995,182.832635315518
Latvia,1995,263.8907773396572
Lithuania,1995,184.4638100945075
Luxembourg,1995,172.56255392579808
Hungary,1995,153.72410924182765
Malta,1995,37.894064436149854
Netherlands,1995,86.48790511382107
Austria,1995,152.3260119073621
Poland,1995,178.846377105051
Portugal,1995,270.6244857161482
Romania,1995,128.36329890700344
Slovenia,1995,208.59753593532372
Slovakia,1995,123.2215259791117
Finland,1995,86.49171934947245
Sweden,1995,64.87922879013509
Switzerland,1995,98.285863297147
Norway,1995,69.96722322342897
Iceland,1995,89.73036026739648
Liechtenstein,1995,64.98570314530802
EU-27,1996,133.09699549169628
Belgium,1996,133.6876384384298
Bulgaria,1996,121.25087859056258
Czech Republic,1996,152.11197301436712
Denmark,1996,97.88561361425108
Germany,1996,107.04311555648994
Estonia,1996,149.45354731152014
Ireland,1996,125.13587463208532
Greece,1996,202.08557560567584
Spain,1996,139.0279048177734
France,1996,147.40413634993078
Croatia,1996,160.30290801925858
Italy,1996,117.43948154937084
Cyprus,1996,195.02295328743185
Latvia,1996,240.53150173049053
Lithuania,1996,184.4981705083962
Luxembourg,1996,172.49757045675412
Hungary,1996,132.73613055189455
Malta,1996,51.18906817036799
Netherlands,1996,76.15905858109608
Austria,1996,129.1325723774237
Poland,1996,164.7008284174535
Portugal,1996,271.82625423421666
Romania,1996,128.77168648724688
Slovenia,1996,195.45126128869208
Slovakia,1996,114.758587798703
Finland,1996,78.95519605317828
Sweden,1996,60.76381816749903
Switzerland,1996,87.10591995022519
Norway,1996,58.20142531866992
Iceland,1996,37.18633327879338
Liechtenstein,1996,96.67128540585828
EU-27,1997,134.89919343254218
Belgium,1997,134.11698029129343
Bulgaria,1997,110.08090886648183
Czech Republic,1997,154.91112398642096
