"freq,unit,geo\TIME_PERIOD",1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,NR,AT",42348 ,42126 ,43073 ,43175 ,43423 ,42657 ,40896 ,39884 ,41096 ,39173 ,37925 ,35348 ,35129 ,40831 ,38502 ,37957 ,37960 ,38466 ,37402 ,36846 ,35736 ,30670 ,32774 ,34869 
"A,NR,AT1",13498 ,13377 ,13698 ,14063 ,13982 ,13942 ,13512 ,12972 ,13327 ,12641 ,12156 ,11599 ,11873 ,15181 ,13891 ,13798 ,13782 ,13917 ,13314 ,12967 ,13004 ,10801 ,11727 ,12512 
"A,NR,AT11",987 ,964 ,952 ,994 ,982 ,897 ,874 ,830 ,820 ,807 ,870 ,851 ,894 ,912 ,809 ,815 ,768 ,810 ,838 ,826 ,812 ,688 ,752 ,846 
"A,NR,AT111",127 ,112 ,107 ,118 ,119 ,109 ,108 ,74 ,105 ,101 ,: ,: ,: ,89 ,103 ,88 ,79 ,109 ,94 ,86 ,94 ,65 ,101 ,98 
"A,NR,AT112",505 ,521 ,542 ,552 ,565 ,494 ,475 ,461 ,412 ,432 ,: ,: ,: ,493 ,438 ,481 ,409 ,410 ,465 ,468 ,439 ,390 ,407 ,459 
"A,NR,AT113",355 ,331 ,303 ,324 ,298 ,294 ,291 ,295 ,303 ,274 ,: ,: ,: ,330 ,268 ,246 ,280 ,291 ,279 ,272 ,279 ,233 ,244 ,289 
"A,NR,AT12",7617 ,7488 ,7729 ,7787 ,7638 ,7483 ,6940 ,6814 ,7323 ,6982 ,6609 ,6299 ,6465 ,7921 ,7308 ,7181 ,7166 ,7244 ,7042 ,6941 ,6995 ,5863 ,6279 ,6374 
"A,NR,AT121",1235 ,1235 ,1157 ,1151 ,1193 ,1195 ,1159 ,1073 ,1211 ,1098 ,: ,: ,: ,1192 ,1155 ,1130 ,1138 ,1111 ,1152 ,1128 ,1152 ,921 ,1032 ,1001 
"A,NR,AT122",1589 ,1492 ,1543 ,1627 ,1520 ,1467 ,1311 ,1351 ,1500 ,1391 ,: ,: ,: ,1148 ,1065 ,1028 ,1038 ,1004 ,964 ,960 ,970 ,869 ,865 ,888 
"A,NR,AT123",733 ,648 ,699 ,751 ,729 ,668 ,597 ,641 ,687 ,612 ,: ,: ,: ,725 ,677 ,675 ,648 ,725 ,688 ,690 ,672 ,594 ,668 ,610 
"A,NR,AT124",1093 ,1117 ,1185 ,1078 ,1099 ,1117 ,1014 ,955 ,1041 ,1013 ,: ,: ,: ,1095 ,992 ,959 ,925 ,1019 ,942 ,1016 ,914 ,802 ,859 ,856 
"A,NR,AT125",589 ,619 ,615 ,656 ,682 ,728 ,647 ,615 ,639 ,604 ,: ,: ,: ,569 ,537 ,505 ,549 ,577 ,498 ,501 ,469 ,377 ,385 ,440 
"A,NR,AT126",1473 ,1485 ,1526 ,1615 ,1576 ,1498 ,1455 ,1408 ,1540 ,1560 ,: ,: ,: ,1434 ,1325 ,1255 ,1263 ,1269 ,1237 ,1207 ,1246 ,1081 ,1147 ,1178 
"A,NR,AT127",905 ,892 ,1004 ,909 ,839 ,810 ,757 ,771 ,705 ,704 ,: ,: ,: ,1758 ,1557 ,1629 ,1605 ,1539 ,1561 ,1439 ,1572 ,1219 ,1323 ,1401 
